date,city,weekdays,high_temp,low_temp,weather,w_direct,w_force
2013/1/23,北京,星期三,2,-7,雾~阴,微风,小于3级
2013/1/24,北京,星期四,3,-6,晴,北风,4-5级~3-4级
2013/1/25,北京,星期五,-1,-9,晴~多云,微风,小于3级
2013/1/26,北京,星期六,1,-8,晴,微风,小于3级
2013/1/27,北京,星期日,2,-8,晴,微风,小于3级
2013/1/28,北京,星期一,4,-6,雾,微风,小于3级
2013/1/29,北京,星期二,4,-5,雾~晴,微风,小于3级
2013/1/30,北京,星期三,0,-4,雾,微风,小于3级
2013/1/31,北京,星期四,0,-3,小雪,微风,小于3级
2013/2/1,北京,星期五,4,-3,小雪~晴,北风,3-4级
2013/2/2,北京,星期六,2,-8,晴,微风,小于3级
2013/2/3,北京,星期日,-1,-6,小雪,微风,小于3级
2013/2/4,北京,星期一,2,-5,雾~晴,北风,3-4级
2013/2/5,北京,星期二,3,-7,小雪,微风,小于3级
2013/2/6,北京,星期三,3,-6,晴,微风~北风,小于3级~4-5级
2013/2/7,北京,星期四,-3,-11,晴,北风,5-6级~3-4级
2013/2/8,北京,星期五,-2,-12,晴,微风,小于3级
2013/2/9,北京,星期六,0,-9,多云,微风,小于3级
2013/2/10,北京,星期日,-1,-6,多云~阴,微风,小于3级
2013/2/11,北京,星期一,-1,-6,阴~小雪,微风,小于3级
2013/2/12,北京,星期二,2,-6,小雪~晴,微风~北风,小于3级~3-4级
2013/2/13,北京,星期三,6,-7,晴~多云,微风,小于3级
2013/2/14,北京,星期四,4,-4,多云~阴,微风,小于3级
2013/2/15,北京,星期五,4,-6,多云~晴,微风,小于3级
2013/2/16,北京,星期六,4,-6,多云~阴,微风,小于3级
2013/2/17,北京,星期日,7,-4,多云,微风~北风,小于3级~4-5级
2013/2/18,北京,星期一,3,-4,阴,微风~北风,小于3级~3-4级
2013/2/19,北京,星期二,2,-8,晴,微风,小于3级
